time,hip_flexion_r
0.0,0.0
0.01,0.008957706995307778
0.02,0.026823986822399212
0.03,0.05353031087416045
0.04,0.08899031171314466
0.05,0.1331012572871092
0.060000000000000005,0.1857454316742511
0.07,0.24679141609749003
0.08,0.31609526870342586
0.09,0.3935016053797427
0.09999999999999999,0.47884458678050623
0.10999999999999999,0.5719488188449022
0.11999999999999998,0.6726301755340808
0.12999999999999998,0.7806965533706051
0.13999999999999999,0.8959485677359265
0.15,1.0181802008454521
0.16,1.1471794109520532
0.17,1.2827287116936192
0.18000000000000002,1.4246057296580528
0.19000000000000003,1.5725837472436033
0.20000000000000004,1.7264322367922489
0.21000000000000005,1.8859173908280338
0.22000000000000006,2.0508026529724965
0.23000000000000007,2.2208492507273743
0.24000000000000007,2.3958167312251453
0.25000000000000006,2.5754635008113134
0.26000000000000006,2.759547367824337
0.2700000000000001,2.9478260839382013
0.2800000000000001,3.1356385010830112
0.2900000000000001,3.3229393976491965
0.3000000000000001,3.5096833400319767
0.3100000000000001,3.6958248613869387
0.3200000000000001,3.881318625430013
0.3300000000000001,4.066119585991477
0.34000000000000014,4.250183139207114
0.35000000000000014,4.43346525776348
0.36000000000000015,4.615922615181114
0.37000000000000016,4.797512700248039
0.38000000000000017,4.9781939216969535
0.3900000000000002,5.157925703263014
0.4000000000000002,5.33666856930282
0.4100000000000002,5.514384221311331
0.4200000000000002,5.6910356053499545
0.4300000000000002,5.866586968769395
0.4400000000000002,6.041003907514615
0.45000000000000023,6.214253391184692
0.46000000000000024,6.386303794403321
0.47000000000000025,6.557124924891904
0.48000000000000026,6.7266880440878465
0.49000000000000027,6.894965879030431
0.5000000000000002,7.061932631110053
0.5100000000000002,7.227563978723094
0.5200000000000002,7.3918370745412885
0.5300000000000002,7.554730537797412
0.5400000000000003,7.7162244419840205
0.5500000000000003,7.876300293974045
0.5600000000000003,8.034941002532493
0.5700000000000003,8.192130854572085
0.5800000000000003,8.347855488944832
0.5900000000000003,8.502101867568124
0.6000000000000003,8.654858244093791
0.6100000000000003,8.806114128506087
0.6200000000000003,8.955860143306545
0.6300000000000003,9.104087927229546
0.6400000000000003,9.250790103338332
0.6500000000000004,9.395960246595163
0.6600000000000004,9.53959285082228
0.6700000000000004,9.681683293829977
0.6800000000000004,9.822227803981377
0.6900000000000004,9.961223427188541
0.7000000000000004,10.0986679940406
0.7100000000000004,10.23456008716353
0.7200000000000004,10.368899008901654
0.7300000000000004,10.501684749402017
0.7400000000000004,10.63291795517411
0.7500000000000004,10.76259989818929
0.7600000000000005,10.89073244368739
0.7700000000000005,11.01731795131208
0.7800000000000005,11.142359214677198
0.7900000000000005,11.265859437972516
0.8000000000000005,11.387822213422739
0.8100000000000005,11.508251499587804
0.8200000000000005,11.62715160049079
0.8300000000000005,11.744527145558239
0.8400000000000005,11.86038307035568
0.8500000000000005,11.97472459809223
0.8600000000000005,12.087557221895684
0.8700000000000006,12.198886687832541
0.8800000000000006,12.308718978649209
0.8900000000000006,12.417060298214464
0.9000000000000006,12.523917056642958
0.9100000000000006,12.629295856079393
0.9200000000000006,12.733203477122878
0.9300000000000006,12.835646865871004
0.9400000000000006,12.936633121563183
0.9500000000000006,13.036169484802953
0.9600000000000006,13.13426332745519
0.9700000000000006,13.23092214112915
0.9800000000000006,13.326153526546507
0.9900000000000007,13.419956523304052
1.0000000000000007,13.51233930293598
1.0100000000000007,13.603310022801464
1.0200000000000007,13.692876832570668
1.0300000000000007,13.781047876311943
1.0400000000000007,13.867831267920366
1.0500000000000007,13.953235026626707
1.0600000000000007,14.03726707224881
1.0700000000000007,14.119935288152098
1.0800000000000007,14.201247576172948
1.0900000000000007,14.281211855097856
1.1000000000000008,14.359836056869648
1.1100000000000008,14.437128120725724
1.1200000000000008,14.51309598567164
1.1300000000000008,14.587747581817782
1.1400000000000008,14.66109082115439
1.1500000000000008,14.733133588312437
1.1600000000000008,14.803883731773475
1.1700000000000008,14.873349055875265
1.1800000000000008,14.941537313835326
1.1900000000000008,15.008456201899788
1.2000000000000008,15.074113354630958
1.2100000000000009,15.138516341278171
1.2200000000000009,15.201672663132024
1.2300000000000009,15.26358975173839
1.2400000000000009,15.324274967836828
1.2500000000000009,15.383735600034434
1.260000000000001,15.44197886482412
1.270000000000001,15.499011907683448
1.280000000000001,15.554841804194648
1.290000000000001,15.60947556116498
1.300000000000001,15.662920111425901
1.310000000000001,15.715182310437658
1.320000000000001,15.766268938350985
1.330000000000001,15.816186702018534
1.340000000000001,15.86494223695542
1.350000000000001,15.912542109248472
1.360000000000001,15.958992817413936
1.370000000000001,16.004300794203463
1.380000000000001,16.048472408358464
1.390000000000001,16.091513966312917
1.400000000000001,16.13343171384494
1.410000000000001,16.174231837677493
1.420000000000001,16.213920467047668
1.430000000000001,16.25250367540229
1.440000000000001,16.289987481880864
1.450000000000001,16.326377852684896
1.460000000000001,16.361680702391784
1.470000000000001,16.395901895216618
1.480000000000001,16.429047246225377
1.490000000000001,16.46112252250261
1.500000000000001,16.492133444276753
1.5100000000000011,16.52208568600577
1.5200000000000011,16.550984877425734
1.5300000000000011,16.578836604564593
1.5400000000000011,16.605646410723146
1.5500000000000012,16.631419797424915
1.5600000000000012,16.656162225336477
1.5700000000000012,16.679879115159544
1.5800000000000012,16.702575848495755
1.5900000000000012,16.724257768685263
1.6000000000000012,16.74493018161979
1.6100000000000012,16.76459835653091
1.6200000000000012,16.783267526754223
1.6300000000000012,16.800942890469965
1.6400000000000012,16.817629611420774
1.6500000000000012,16.83333281960713
1.6600000000000013,16.84805761196128
1.6700000000000013,16.86180905300025
1.6800000000000013,16.874592175458794
1.6900000000000013,16.886411980903087
1.7000000000000013,16.897273440326114
1.7100000000000013,16.907181494725606
1.7200000000000013,16.91614105566561
1.7300000000000013,16.924157005822682
1.7400000000000013,16.93123419951776
1.7500000000000013,16.93737746323477
1.7600000000000013,16.942591596127095
1.7700000000000014,16.946881370512887
1.7800000000000014,16.950251532360358
1.7900000000000014,16.95270680176399
1.8000000000000014,16.95425187341272
1.8100000000000014,16.954891417050995
1.8200000000000014,16.954630077933633
1.8300000000000014,16.953472477275294
1.8400000000000014,16.95142321269543
1.8500000000000014,16.948486858659372
1.8600000000000014,16.94466796693741
1.8700000000000014,16.939971067085978
1.8800000000000014,16.934400666877615
1.8900000000000015,16.92796125272734
1.9000000000000015,16.920657290117955
1.9100000000000015,16.912493224024676
1.9200000000000015,16.903473479339496
1.9300000000000015,16.89360246129563
1.9400000000000015,16.882884555892293
1.9500000000000015,16.87132413032009
1.9600000000000015,16.85892553338715
1.9700000000000015,16.845693095946235
1.9800000000000015,16.831631131322894
1.9900000000000015,16.816743935744785
